ID ODS,NAME,ADDRESS,PHONE_NUMBER
143495368,ОДС №774-Косино-Ухтомский,"город Москва, Святоозерская улица, дом 4",8 (495) 539-53-53
143495381,ОДС №798-Косино-Ухтомский,"город Москва, Святоозерская улица, дом 30",8 (495) 539-53-53
143495383,ОДС №7-Богородское,"город Москва, бульвар Маршала Рокоссовского, дом 17 ",8 (495) 539-53-53
143495386,ОДС №7-Ивановское,"город Москва, Свободный проспект, дом 7, корпус 2",8 (495) 539-53-53
143495394,ОДС №7-Новокосино,"город Москва, Суздальская улица, дом 12, корпус 3",8 (495) 539-53-53
143495396,ОДС №7-Перово,"город Москва, улица Плеханова, дом 25, корпус 5",8 (495) 539-53-53
143495417,ОДС №815-Косино-Ухтомский,"город Москва, Святоозерская улица, дом 30",8 (495) 539-53-53
143495449,ОДС №8-Ивановское,"город Москва, улица Молостовых, дом 6, корпус 2",8 (495) 539-53-53
143495450,ОДС №8-Измайлово,"город Москва, Верхняя Первомайская улица, дом 23А",8 (495) 539-53-53
143495451,ОДС №8-Косино-Ухтомский,"город Москва, улица Руднёвка, дом 4",8 (495) 539-53-53
143495457,ОДС №8-Новогиреево,"город Москва, Кусковская улица, дом 27, корпус 2",8 (495) 539-53-53
143495458,ОДС №8-Новокосино,"город Москва, Суздальская улица, дом 10, корпус 3",8 (495) 539-53-53
143495459,ОДС №8-Перово,"город Москва, Зелёный проспект, дом 6, корпус 2",8 (495) 539-53-53
143495628,ОДС №6-Ивановское,"город Москва, улица Сталеваров, дом 10, корпус 2",8 (495) 539-53-53
143495636,ОДС №6-Новогиреево,"город Москва, Братская улица, дом 19, корпус 1",8 (495) 539-53-53
143495637,ОДС №6-Перово,"город Москва, улица Плеханова, дом 14, корпус 4",8 (495) 539-53-53
143495642,ОДС №6-Сокольники,"город Москва, Малая Остроумовская улица, дом 1Г",8 (495) 539-53-53
143495695,ОДС №993-Косино-Ухтомский,"город Москва, Большая Косинская улица, дом 20, корпус 1",8 (495) 539-53-53
143495701,ОДС №9-Богородское,"город Москва, Наримановская улица, дом 13",8 (495) 539-53-53
143495703,ОДС №9-Ивановское,"город Москва, улица Молостовых, дом 15, корпус 1",8 (495) 539-53-53
143495708,ОДС №9-Новогиреево,"город Москва, Зелёный проспект, дом 50",8 (495) 539-53-53
143495709,ОДС №9-Новокосино,"город Москва, Новокосинская улица, дом 6А",8 (495) 539-53-53
143495712,ОДС №9-Северное Измайлово,"город Москва, 3-я Парковая улица, дом 44Б",8 (495) 539-53-53
